name,price,bd,dvd,cd,bd_write,dvd_write,cd_write
LG WH14NS40,99.99,12,16,48,14/12/2/2,16/8/8/16/6/8/5,48/24
Lite-On iHAS124-14,28.89,,16,48,,24/8/8/24/6/8/5,48/24
Asus BW-16D1HT,128.99,12,16,48,16/12/2/2,16/8/8/16/6/8/5,48/24
LG WH16NS40,123,12,16,48,16/12/2/2,16/8/8/16/6/8/5,48/24
Asus DRW-24B1ST/BLK/B/AS,56,,16,48,,24/8/12/24/6/12/12,48/32
Pioneer BDR-212DBK,149.94,,,,16/14/2/2,16/8/8/16/6/8/5,40/24
Asus DRW-24D5MT,56.08,,16,48,,16/13/12/16/8/12/5,48/40
LG GH24NSD5,77.4,,16,48,,24/8/12/8/6/12/12,48/24
Pioneer BDR-209DBK,149.94,12,16,40,16/14/2/2,16/8/8/16/6/8/-,40/24
LG GH24NSD1,,,16,48,,24/8/16/24/6/12/12,48/32
LG GH24NSC0B,31.98,,16,48,,24/8/8/24/6/8/5,48/24
LG BU40N,93.18,,,,6/6/2/6,8/8/6/8/6/6/5,24/16
Panasonic UJ-265,126.68,6,8,24,6/6/-/-,8/8/6/8/8/6/-,24/16
Asus DRW-24F1ST,54.99,,16,48,,24/8/8/24/6/8/5,48/24
Silverstone TOB04,163.24,6,8,24,6/6/6/4,8/8/8/8/8/8/8,24/24
LG BH16NS55.AUAR10B,,,,40,8/8/8/6,16/12/12/16/12/12/5,48/40
LG GH24NSC0,31.98,,16,48,,24/8/8/24/6/8/5,48/24
Plextor PX-891SAF,33.02,,16,48,,24/8/12/24/6/12/12,48/32
Asus BW-12B1ST/BLK/G/AS,,8,16,48,12/4/2/2,16/8/8/16/6/8/12,48/24
Pioneer BDR-S13UBK,,12,16,48,16/14/2/2,,48/40
Asus BC-12D2HT,,,,,12/8/8/6,16/8/8/6/12/8/5,48/24
Pioneer BDR-211UBK,,12,16,40,16/14/2/2,16/8/8/16/6/8/5,40/24
LG BH16NS40,116.99,12,16,48,16/12/2/-,16/8/8/16/6/8/5,48/24
LG WH16NS60,,,,,16/12/-/-,-/-/-/-/-/-/5,48/24
LG GH24NSB0,43.99,,16,48,,24/8/8/24/6/8/5,48/24
Asus BW-14D1XT,,12,16,48,14/12/2/2,16/8/8/16/6/8/5,48/24
Asus BC-12B1ST/BLK/B/AS,,12,16,48,,16/8/8/16/6/8/12,48/24
Pioneer BDC-207DBK,149.9,8,16,40,,16/8/8/16/6/8/5,40/24
Pioneer BDR-207MBK,,10,16,40,12/12/2/2,16/8/8/16/6/8/5,40/24
Samsung SH-B123L/RSBP,,12,16,48,,16/8/8/16/16/8/12,48/24
Samsung SH-224DB/BEBE,,,16,48,,24/8/8/24/6/8/12,48/24
Asus SDRW-08U1MT,46.13,,,24,,8/8/6/8/6/6/5,24/24
Lite-On DH-16AFSH,,,,,,16/8/8/16/6/8/-,48/24
Silverstone SOB03,,6,8,24,6/6/2/2,8/8/4/8/6/4/5,24/10
LG GS40N,,,8,24,,8/8/6/8/6/6/5,24/16
LG BH10LS30,,6,16,48,10/8/8/6,16/8/8/16/8/8/12,48/24
Sony BD-5300S,,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/24
LG GTB0N,39.97,,8,24,,8/6/6/8/6/6/5,24/24
LG GH22LP21,,,16,48,,22/8/16/22/6/12/12,48/32
Asus DRW-24B3ST/BLK/G/AS,,,16,48,,24/8/12/24/6/12/12,48/24
Asus DRW-24F1MT,,,,,,24/8/8/24/6/8/5,48/24
LG BH12LS38,,12,16,48,12/12/2/2,16/8/8/16/6/8/12,48/24
Samsung SN-208DB/BEBE,119.99,,8,24,,8/8/6/8/6/6/5,24/24
LG BH14NS40,,12,16,48,14/12/2/2,16/8/8/16/6/8/5,48/24
HP QS208AA,66,,16,48,,16/8/8/-/6/8/-,48/32
Samsung SH-B123L,,12,16,48,,16/8/8/16/6/8/12,48/4
HP DVD1265I,,,16,48,,24/8/12/24/6/12/-,48/32
Pioneer BDR-212EBK,,16,,,,16/-/-/16/-/-/-,40/-
HP 447328-B21,,,16,50,,16/8/-/16/8/-/-,40/32
Lite-On iHOS104-06,,4,8,32,,,
LG GH24NS90,,,16,48,,24/8/8/24/6/8/12,48/32
LG CH10LS28,,10,16,48,,16/8/8/16/6/8/12,48/24
HP 1270i,68.98,,16,48,,24/8/12/24/6/12/12,48/32
LG GH24NS95,,,16,48,,24/8/8/24/6/8/5,48/24
LG GGC-H20L,,6,16,40,,,
I/O Magic IDVD24S,30.68,,,,,24/8/16/24/1/16/12,48/32
Lite-On IHAS324-98,69.9,,16,48,,24/8/-/24/6/-/-,48/32
LG GH22NS70 OEM,,,16,48,,22/8/8/22/6/8/12,48/32
Pioneer DVR-118LBK,,,22,40,,22/8/12/22/6/12/12,40/32
Sony AD-7260S-0B,,,16,48,,24/8/12/24/6/12/12,48/32
Samsung TS-H353C,,,16,40,,,
Pioneer BDR-2209,,12,16,40,16/14/2/2,16/6/8/16/6/8/5,40/24
Asus BC-12B1ST,,,,,,16/8/8/16/6/8/12,48/24
Pioneer BDR-S12XLT,,16,16,40,16/14/2/2,16/8/8/16/6/8/5,40/24
I/O Magic IDVD22DL,,,16,48,,22/8/16/22/6/16/12,48/32
Lite-On IHBS112-04,,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/48
Sony AD-7261S-0B,,,16,48,,24/8/12/24/6/12/12,48/32
LG GH22NS50 Bulk,,,16,48,,22/8/-/22/8/-/12,48/32
Sony AD-7280S-0B,,,16,48,,24/8/12/24/6/12/12,48/32
LG WH12LS38,,10,16,48,12/12/2/2,16/8/8/16/6/8/12,48/24
Gear Head 24XDVDINTLS,,,,,,24/8/12/24/-/12/12,
Lite-On ihes108-29,,8,16,48,8/4/8/4,16/8/16/16/6/16/12,48/32
Samsung SH-224BB,,,16,48,,24/8/8/24/6/8/12,48/24
LG UH12NS30,,12,16,,,16/8/8/16/6/8/5,48/24
Samsung SH-224DB/RSBS,,,16,48,,24/8/8/24/6/8/5,48/24
Asus DRW-2014L1T,,,16,48,,20/8/8/20/6/8/14,48/32
Silverstone SST-SOB02,,,,24,6/6/6/6,8/8/8/8/8/8/4,24/24
OcUK CD-004-OK,,8,,,,16/16/8/16/16/8/-,48/24
LG GUB0N,,,8,24,,8/6/6/8/6/6/5,24/24
Asus DRW-24D3ST,,,16,48,,16/13/12/16/8/12/5,48/40
Samsung SH-216DB,,,,,,16/8/8/16/6/8/5,48/24
Pioneer BDR-211EBK,,,,,16/-/-/-,-/16/-/-/16/-/-,-/40
LG GH22LS50,,,12,48,,22/8/16/22/6/12/12,48/32
Samsung SN-208FB/BEBE,,,8,24,,8/8/6/8/6/6/5,24/-
HP bd340i,,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/24
HP 481041-B21,,,8,24,,,
Plextor PX-L890SA,,,16,48,,24/8/12/24/6/12/12,48/24
Sony DDU1681S-0B,,,18,48,,,
Lite-On iHDP118-04,,,18,48,,,
Asus DRW-24B3LT,,,16,48,,24/8/12/24/6/12/12,48/24
MSI DH-18D5S,,,18,48,,,
Lite-On ihes112-04,,12,16,48,,16/8/8/16/6/8/12,48/24
LG WH12LS30,,10,16,48,12/12/2/2,16/8/8/16/6/8/12,48/24
LG GH22NS90B,,,16,48,,22/8/8/22/6/8/12,48/32
LG CH12LS28,,10,16,48,,16/8/8/16/6/8/12,48/24
Sony AD-7280S-02,,,16,48,,24/8/12/24/6/12/12,48/32
LG UH12NS29,,10,16,48,,16/8/8/16/6/8/12,48/24
LG GH24NS72,,,16,48,,24/6/8/24/8/24/-,48/32
MSI DH-24AS,,,16,48,,24/8/12/24/6/12/12,48/32
Pioneer BDR-208DBK,,12,16,40,15/14/2/2,16/8/8/16/6/8/-,40/24
Asus DVD-E818AAT/BLK/B/GEN,,,18,48,,,
HP 652238-B21,,,8,24,,,
Silverstone SOD02B,,,8,24,,8/8/6/8/6/6/5,24/4
Pioneer BDR-S09XLT,,,5,40,12/8/10/6,16/12/12/16/12/12/5,40/24
LG GH24NSB0B,,,16,48,,24/8/8/24/6/8/5,48/24
Samsung SH-224FB/RSMS,,,,,,24/8/8/24/8/8/5,48/24
LG BH12LS35,,,,,12/12/2/2,16/12/12/16/12/12/12,48/24
LG UH12NS40,,12,16,48,,16/8/8/16/6/8/5,48/24
Samsung SH-224FB,,,16,48,,24/8/8/24/6/8/5,48/24
Pioneer DVR-216D,,,16,40,,20/8/12/20/32/12/-,40/32
Pioneer BDR-213EBK,,,,,,,
Lite-On iHAS124-04,,,16,48,,24/8/8/24/6/-/12,48/32
Lite-On iHAP122-04,,,16,48,,22/8/8/22/6/8/12,48/32
Samsung SH-222AL,,,16,48,,22/8/16/22/6/12/12,48/24
Sony BD-5300S-0B,,8,16,48,12/8/2/2,8/8/6/8/6/6/5,24/16
Sony BD-5740H-01,,6,8,24,6/6/2/2,8/8/6/8/6/6/5,24/16
Asus DVDE818A7T/BLK/B/GEN,,,18,48,,16/10/8/16/10/8/5,
LG UH12LS28 OEM,,12,16,48,,16/8/8/16/6/8/12,48/24
Plextor PX-L871A,,,16,48,,22/8/12/22/6/12/12,48/24
Plextor PX-B320SA SW,,8,16,48,,16/8/8/16/6/8/12,48/32
Lite-On iHAS-324-98B,,,16,48,,24/8/8/24/6/8/12,48/32
Lite-On iHAS424-98,,,16,48,,24/8/12/24/6/12/12,48/32
Lite-On iHDS118-04,,,18,48,,,
Buslink DBW-1647,,,16,48,,16/4/4/16/4/-/-,48/32
Lite-On iHES208-08,,8,16,48,,16/8/8/16/6/8/12,48/48
Samsung SH-222AL/BSBS,,,22,48,,22/8/16/22/6/12/12,48/24
Lite-On iHAS324-99,,,16,48,,24/8/12/24/6/12/12,48/32
LG WH12LS39,,10,16,48,12/12/2/2,16/8/8/16/6/8/12,48/24
Sony 5280S-CB-PLUS,,,16,48,,24/8/12/24/6/12/-,48/32
Lite-On IHBS312-98,,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/24
LG UH12LS29,,10,16,48,,16/8/8/16/6/8/12,48/24
LG CH10LS20 OEM,,10,16,48,,16/8/-/16/6/-/-,48/24
Plextor PX-891SA-26,,,16,48,,24/8/12/24/6/12/12,48/32
Lite-On IHAS324-07,,,16,48,,24/8/12/24/6/-/-,48/32
LG BT30N,,6,8,24,6/6/2/-,8/8/6/8/6/6/5,24/24
LG GT80N,,,8,24,,8/8/6/8/6/6/5,24/24
HP AR629AA,,,16,48,,,
Samsung SH-S223Q,,,16,48,,22/8/16/22/6/12/12,48/32
Pioneer BDR-S08XLT,,,,,,,
OcUK iHAS124-14,,,16,48,,24/8/8/24/6/8/5,48/24
Lite-On SOHW-832S,,,12,40,,8/4/2/8/4/2/-,40/24
LG CU20N,,6,8,24,,8/8/6/8/6/6/5,24/16
Lenovo 41N5618,,,16,40,,,
Lenovo 0A65618,,,,,,16/12/12/16/12/12/12,48/40
Sony AD-7200S-0B,,,,,,20/8/8/20/6/12/12,48/32
Teac BD-W512GSA,,,,,12/8/2/2,16/8/8/16/6/8/-,48/24
Samsung SH-S203B,,,20,48,,20/8/12/20/6/12/12,32/48
LG GUD0N,43.76,,,,,8/6/6/8/6/6/5,24/24
Memorex 98240,79.88,,16,48,,24/6/8/24/6/8/-,48/32
Samsung SN-208DB/BEBET,,,8,24,,8/8/6/8/6/6/5,24/24
Lite-On DS-8ABSH-01,,,8,24,,8/8/6/8/6/6/5,24/24
Samsung SH-S223C,,,16,48,,22/8/16/22/6/12/12,48/32
LG GH22NP21,,,16,48,,22/8/16/22/6/12/12,48/32
LG GH24LS70,,,16,48,,24/8/8/24/6/8/12,48/32
LG GH24NS70 OEM,,,16,48,,24/8/8/24/6/8/12,48/32
Lite-On IHBS112-29,,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/24
Lite-On iHAP222-06,,,16,48,,22/8/8/22/6/8/12,48/32
Lite-On iHBS212-08,,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/24
Pioneer BDR-206DBKS,,8,16,40,12/12/2/2,16/8/8/16/6/8/-,40/24
Pioneer BDR-206MBK,,6,8,24,6/6/2/2,8/8/8/8/6/8/-,24/24
Plextor PX-B940SA-11,,8,16,40,12/12/2/2,16/8/8/16/6/8/5,40/24
Samsung SH-222AB,,,16,48,,22/8/16/22/6/12/12,48/24
Sony AD-7690H-01,,,8,24,,8/8/6/8/6/6/5,24/24
Sony AD-7710H-01,,,8,24,,8/8/6/8/6/6/5,24/24
Sony BC-5640H-01,,6,8,24,,8/8/6/8/6/6/5,24/16
Lite-On iHOS104-08,,4,8,32,,,
Sony BC-5500H-01,,4,8,24,,8/4/4/8/4/4/5,16/10
Asus DRW-24B3LT/BLK/G/AS,,,16,48,,24/8/-/24/8/-/-,48/24
Lite-On Ihap322-98,,,16,48,,22/8/-/22/6/-/12,48/32
Lite-On iHAP422-98,,,16,48,,22/8/8/22/6/8/12,48/32
Lite-On iHAS224-06,,,16,48,,24/8/12/24/6/12/12,48/32
Plextor PX-L890SA R,,,16,48,,24/8/12/24/6/12/12,48/24
Samsung SH-S222A,,,16,48,,22/8/16/22/6/12/12,48/32
Sony AD-7260S-01,,,16,48,,24/8/12/24/6/12/12,48/32
Lite-On iHDP118-08,,,18,48,,,
Asus DRW-22B3S/BLK/G/AS,,,16,48,,22/8/12/22/6/12/12,48/24
Asus DRW-22B2Sb/BLK/B/AS,,,16,48,,22/8/12/22/6/12/12,48/32
Lite-On iHAS524-T98A,,,16,48,,24/8/12/24/6/12/12,48/32
MSI DH-18D4P,,,18,48,,,
Lite-On DS-8A5S,,,8,24,,8/8/6/8/6/6/5,24/24
MSI DH-24AAS-17 R,,,16,48,,24/8/12/24/6/12/12,48/32
Lite-On DC-8A2SH,,,8,24,,8/8/6/8/6/6/5,24/24
Lite-On iHES112-29,,12,16,48,,16/8/8/16/6/8/12,48/24
Sony BWU-500S,,8,16,48,12/8/2/2,8/8/6/8/6/6/5,24/16
Teac DV516E/B/S,,,16,48,,,
Sony BD-5750H,,6,8,24,6/6/2/2,8/8/6/8/6/6/5,24/16
Teac DV516E/S,,,16,48,,,
Memorex 98240-KIT,,,16,48,,24/8/8/24/6/8/-,48/32
Lite-On DS-8A8SH,,,8,24,,8/8/6/8/6/6/5,24/24
Memorex MRX-550L,,,16,48,,24/8/-/24/6/-/-,48/32
Sony AD-7740H-01,,,8,,,8/-/-/8/-/-/-,
Plextor PX-LB950SA,,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/24
Sony BC5640H-03,,6,8,24,,8/8/6/8/6/6/5,24/16
MSI DH-22AP,,,16,48,,22/8/-/22/6/-/12,48/32
I/O Magic IBD1,,10,16,48,10/8/2/-,16/8/4/16/6/4/-,48/24
Samsung SH-222AL/RSBS,,,16,48,,22/8/16/22/6/12/12,48/24
Samsung SN-208BB,,,8,24,,8/8/8/8/6/8/5,24/4
Samsung SH-222AL/BSBE,,,16,48,,22/8/16/22/6/12/12,48/24
Samsung TS-HB43L/HPBHF,,,16,40,,16/8/8/16/8/8/12,40/-
HP 447326-B21,,,16,40,,,
Lite-On iHAS524-06,,,16,48,,24/8/12/24/6/12/12,48/32
Lite-On iHES212-08,,12,16,48,,16/8/8/16/6/8/12,48/24
Samsung SH-222BB/BEBE,,,16,48,,22/8/8/22/6/8/12,48/24
Pioneer BDR-2208,,12,16,40,15/14/2/2,16/8/8/16/6/8/5,40/24
Pioneer BDR-207DBKS,,10,16,40,12/12/2/2,16/8/8/16/6/8/-,40/24
Pioneer BDR-207,,10,16,40,12/12/2/2,16/8/8/16/6/8/-,40/24
Pioneer BDR-2206,,8,12,40,12/12/2/2,16/8/8/16/6/8/-,40/24
Pioneer BDR-2207,,10,16,40,12/12/2/2,16/8/8/16/6/8/5,40/24
Lite-On ihas524-T06,,,16,48,,24/8/12/24/6/12/12,48/32
Lite-On IHES312-98,,12,16,48,,16/8/8/16/6/8/12,48/24
MSI DH-24AS U88,,,16,48,,24/8/-/24/8/-/-,48/32
Samsung SH-222BB/RSBS,,,16,48,,22/8/8/22/6/8/12,48/24
Samsung SH-224BB/RSBS,,,16,48,,24/8/8/24/6/8/12,48/24
Lite-On DS-8A9SH-01,,,8,24,,8/8/6/8/6/6/5,24/24
Plextor PX-891SA-28,,,16,48,,24/8/12/24/6/12/12,48/32
Samsung SH-118BB,,,18,48,,,
Supermicro DVM-TEAC-824B,,,8,24,,,
HP 624192-B21,,,,,,16/8/8/16/6/8/5,40/24
Archgon CB-5021-GB,,6,8,24,6/2/2/2,8/8/6/8/6/6/5,24/4
Archgon CB-5021-GD,,,8,24,,8/8/6/8/6/6/5,24/24
EVGA 100-OD-S101-BR,,,,,,8/8/6/8/6/6/5,24/24
Lite-On DL-8A4SH-01,,,8,24,,8/8/6/8/6/6/5,24/24
OcUK CD-005-OK,,10,16,40,6/-/8/-,16/8/8/12/8/8/12,48/40
OcUK OcUKSATADVDRW,,,16,40,,16/12/12/16/12/12/-,48/40
Asus DVD-E818AAT/BLK/B/GE,,,18,48,,,
Samsung SH-118CB/BEBE,,,18,48,,,
Lite-On DH-4O1S-11,,4,12,32,,,
Asus BC-06B1ST,,6,16,48,6/4/6/4,16/8/8/16/8/8/-,48/32
LG GH10N,,,,,,,
Samsung SH-224FB/RSBS,,,16,48,,24/8/8/24/6/8/5,48/24
Samsung SH-224GB/BSBE,,,16,48,,24/8/8/24/6/8/5,48/24
